Gene Name;Gene ID;Group;Chr;Start;End;Strand;Degree;Closeness;Betweenness;dN/dS Chimp;dN/dS Macaque;dN/dS Mouse;Tajima's D exons;Tajima's D regulatory;Fay and Wu's H exons;Fay and Wu's H regulatory
HDAC1;ENSG00000116478;END;1;32757687;32799236;1;309;0,36;974972,38;0,06;0,63;-;-1,676;-2,33;0,00003;-0,00001
KIF11;ENSG00000138160;END;10;94353043;94415150;1;8;0,28;1533,61;-;-;-;0,127;-0,873;0,00017;-0,00062
KRT19;ENSG00000171345;END;17;39679869;39684560;-1;17;0,28;16566,27;0,05;-;0,11;0,563;1,873;-0,00011;0,00007
EXTL3;ENSG00000012232;END;8;28457986;28613116;1;2;0,25;843,66;0,03;0,01;0,02;-0,1;-0,135;-0,0001;-0,00022
PTPRC;ENSG00000081237;END;1;198607801;198726545;1;19;0,27;13857,09;0,54;0,81;0,33;-1,598;-0,826;-0,001;-0,00046
CITED2;ENSG00000164442;END;6;139693393;139695757;-1;10;0,28;8220,8;0,31;0,05;0,06;-0,484;-0,673;0,00054;-0,00008
SPTLC2;ENSG00000100596;END;14;77972340;78083116;-1;-;-;-;0;0,15;0,05;0,152;1,137;-0,00001;0,00017
MYBL2;ENSG00000101057;END;20;42295754;42345136;1;18;0,29;11673,49;0,43;0,1;0,12;-1,199;-1,33;0,00015;-0,00104
MCM6;ENSG00000076003;END;2;136597196;136633996;-1;30;0,29;28270,99;0,5;0,05;0,04;-1,199;-0,435;-0,0003;-0,00031
MED21;ENSG00000152944;END;12;27175479;27219276;1;35;0,29;7159,18;0,49;0,08;0,03;-0,513;0,831;0,00036;0,00033
KIF1A;ENSG00000130294;END;2;241653181;241759725;-1;-;-;-;0,05;0,17;0,01;-0,649;0,361;-0,0003;-0,0001
DSC3;ENSG00000134762;END;18;28569974;28622781;-1;4;0,26;242,35;0,28;0,47;0,18;1,016;1,416;-0,00026;-0,0001
TIA1;ENSG00000116001;END;2;70436576;70475792;-1;1;0,19;0;0;0,05;0,04;-1,838;-0,934;-0,0002;-0,00037
FKTN,FCMD;ENSG00000106692;END;9;108320411;108403399;1;1;0,22;0;0,28;0,14;0,12;-0,462;-0,833;0,00022;-0,00003
CARD10;ENSG00000100065;END;22;37886400;37915549;-1;1;0,24;0;0,2;0,28;0,06;-0,474;-0,117;-0,00146;-0,00069
TOP1;ENSG00000198900;END;20;39657458;39753127;1;22;0,32;13252,68;0;0,05;0,02;-1,78;-0,844;0,00007;0,00004
FTH1;ENSG00000167996;END;11;61727190;61735132;-1;9;0,26;5608,35;-;-;0,12;-1,675;-0,299;0,00005;-0,00035
PLAGL2;ENSG00000126003;END;20;30780306;30795594;-1;1;0,24;0;0,16;0,09;0,02;-0,753;0,198;-0,00019;-0,00006
RDH10;ENSG00000121039;END;8;74206847;74237516;1;-;-;-;0;0;0,02;-1,068;0,454;0,00033;0,00007
ACVR2B;ENSG00000114739;END;3;38495342;38524948;1;12;0,22;20724,88;0;0;0,01;1,726;1,085;-0,00004;0,0001
ALG5;ENSG00000120697;END;13;37523912;37574398;-1;-;-;-;0,2;0,21;0,13;-1,401;-0,643;0,00007;-0,00012
REC8;ENSG00000100918;END;14;24641062;24649463;1;3;0,23;0;0,39;0,45;0,26;1,156;0,865;0,00023;0,00018
TFEB;ENSG00000112561;END;6;41651716;41703997;-1;-;-;-;0,06;0,03;0,06;0,425;0,384;0,00029;0,00009
UNC79;ENSG00000133958;END;14;93799565;94174222;1;2;0,25;153,86;0,24;0,08;0,05;-0,432;0,174;0,00007;-0,00008
KCNJ6;ENSG00000157542;END;21;38996789;39288749;-1;4;0,25;2284,87;0;0;0,01;-0,418;0,528;0,00018;-0,00052
PKDCC;ENSG00000162878;END;2;42275160;42285668;1;-;-;-;0,13;0,39;0,07;0,613;0,98;0,00003;-0,00012
MLLT4;ENSG00000130396;END;6;168227602;168372703;1;-;-;-;0,19;0,07;0,06;-0,05;0,113;0,00001;-0,00011
MYL7;ENSG00000106631;END;7;44178463;44180931;-1;-;-;-;0;0,02;0,02;-0,277;1,525;-0,00002;0,0004
INTS6;ENSG00000102786;END;13;51928213;52028400;-1;35;0,27;38396,44;-;-;-;-1,924;-1,223;-0,00015;-0,00099
USP1;ENSG00000162607;END;1;62901968;62917475;1;25;0,31;43765,06;0,2;0,34;0,1;0,033;1,149;0,00012;-0,00016
NKX2-2;ENSG00000125820;END;20;21491648;21494664;-1;2;0,27;0;0;0;0,01;-1,311;-0,958;0,00021;0,00006
NOV;ENSG00000136999;END;8;120428546;120436593;1;8;0,26;8617,55;-;0,06;0,15;0,741;0,231;-0,00125;-0,00091
ACVR1B;ENSG00000135503;END;12;52345451;52390862;1;13;0,26;40104,97;0;0,06;0,02;-1,363;-1,154;-0,0006;-0,0002
PPP3R1;ENSG00000221823;END;2;68358370;68488362;-1;4;0,24;13403,28;-;-;-;0,382;1,583;0,00023;0,00021
STXBP1;ENSG00000136854;END;9;130374544;130457460;1;11;0,27;10599,91;0,15;0;0;-1,567;-1,6;-0,00034;-0,00047
UBA6;ENSG00000033178;END;4;68481479;68566897;-1;2;0,31;82,43;0,24;0,23;0,12;2,325;1,606;0,00031;0,00025
GABRB3;ENSG00000166206;END;15;26788693;27184686;-1;4;0,31;6551,34;0,49;0,18;0,04;0,572;0,748;-0,00055;-0,0002
SLC7A1;ENSG00000139514;END;13;30083547;30169825;-1;-;-;-;0,05;0,06;0,1;-1,875;-0,705;-0,00126;-0,00087
FOXP4;ENSG00000137166;END;6;41514164;41570122;1;3;0,2;0;-;-;-;-0,9;-0,209;0,00004;-0,00015
TSTA3;ENSG00000104522;END;8;144694788;144700218;-1;-;-;-;0,35;0,11;0,04;0,396;1,023;0,00026;0,00011
PPM1F;ENSG00000100034;END;22;22273793;22307209;-1;2;0,21;8796;0,37;0,16;0,25;-0,555;0,425;0,00029;0,00015
KRIT1;ENSG00000001631;END;7;91828283;91875480;-1;4;0,25;278,82;0,04;0,06;0,06;-1,509;-0,932;-0,00015;-0,00002
CCR10;ENSG00000184451;END;17;40830907;40835935;-1;5;0,22;29600,64;0;0,06;0,1;0,749;-0,049;0,00002;-0,00005
HOPX;ENSG00000171476;END;4;57514155;57548065;-1;4;0,26;1406,02;0,32;0,41;0,17;0,629;1,065;-0,00004;-0,00013
NR6A1;ENSG00000148200;END;9;127279554;127533589;-1;2;0,24;0;0,37;0,07;0,09;-1,829;-0,892;0,00004;0
ELAVL1;ENSG00000066044;END;19;8023463;8070543;-1;9;0,32;4808;0;0;0,01;0,201;0,088;0,00013;0,00014
CTBP1;ENSG00000159692;END;4;1205236;1243741;-1;57;0,32;70522,5;0,02;0;0,01;-0,241;0,491;-0,00041;-0,00027
MAN1A2;ENSG00000198162;END;1;117910071;118071494;1;-;-;-;0,7;0,18;0,07;0,791;0,497;-0,00007;0,00018
KIF16B;ENSG00000089177;END;20;16252749;16554078;-1;-;-;-;0,53;0,31;0,19;-0,259;0,675;0,0001;-0,00007
ECEL1;ENSG00000171551;END;2;233344537;233352538;-1;-;-;-;0,09;0,1;0,03;-1,641;-0,116;0,00015;-0,00003
PLA2G3;ENSG00000100078;END;22;31530795;31536593;-1;-;-;-;0,92;0,5;0,37;-0,215;-0,184;-0,00013;-0,00027
ARHGAP35;ENSG00000160007;END;19;47421933;47508334;1;3;0,26;167,5;0,22;0,03;0,02;-0,567;-0,743;-0,00007;-0,00015
SERP1;ENSG00000120742;END;3;150259781;150321015;-1;7;0,27;2201,78;0;0;0;0,591;1,102;0,00038;0,00042
PTK2;ENSG00000169398;END;8;141667999;142012315;-1;61;0,32;119502,09;0,15;0,52;0,03;-0,082;1,116;0,00009;0
SLC2A3;ENSG00000059804;END;12;8071826;8088871;-1;-;-;-;0,2;-;-;0,074;0,198;-0,0006;-0,00037
AEBP1;ENSG00000106624;END;7;44143960;44154161;1;-;-;-;0,22;0,19;0,09;0,059;0,511;0,0002;0,00015
SPINT2;ENSG00000167642;END;19;38734675;38783254;1;1;0,19;0;0,58;0,24;0,2;-0,64;0,357;0,00026;-0,00027
TRAIP;ENSG00000183763;END;3;49866034;49894007;-1;16;0,31;10767,18;0,76;0,51;0,31;1,077;1,317;0,00013;0,00016
CACNA2D2;ENSG00000007402;END;3;50400233;50541675;-1;-;-;-;0,29;0,09;0,03;-1,765;-1,396;-0,00011;-0,00036
RAD9A;ENSG00000172613;END;11;67159176;67165881;1;19;0,29;14451,3;-;0,14;0,22;-1,45;-1,988;-0,00084;-0,00054
NOVA1;ENSG00000139910;END;14;26912299;27066960;-1;-;-;-;0,23;0,08;0,02;-1,132;-1,333;-0,00029;-0,00057
PSMC3;ENSG00000165916;END;11;47440320;47447993;-1;20;0,31;14412,7;0,06;0,01;0,01;0,918;1,321;-0,00027;-0,00023
SLC9A3R1;ENSG00000109062;END;17;72744791;72765492;1;29;0,28;61923,16;0,23;0,12;0,11;-0,75;0,156;0,00017;-0,00005
DLG1;ENSG00000075711;END;3;196769431;197026171;-1;39;0,32;146279,84;0,09;0,02;0,05;0,281;0,628;0,00021;0,0003
JUP;ENSG00000173801;END;17;39775692;39943183;-1;36;0,32;66281,77;0,2;0;0,01;-0,282;-0,429;-0,0001;-0,00117
HBZ;ENSG00000130656;END;16;202686;204502;1;4;0,27;768,21;-;-;0,08;-1,307;1,086;-0,0026;-0,00014
PODXL;ENSG00000128567;END;7;131185021;131242976;-1;2;0,22;156,35;0,82;0,92;0,49;0,69;0,328;-0,0002;-0,0002
EEF1E1;ENSG00000124802;END;6;8073593;8102811;-1;-;-;-;-;-;-;0,623;1,058;-0,00052;0,0001
LCMT1;ENSG00000205629;END;16;25123050;25189552;1;1;0,23;0;0;0,69;0,11;0,149;0,018;-0,00029;-0,00033
CDC20;ENSG00000117399;END;1;43824626;43828874;1;40;0,32;91072,57;0,43;0,03;0,05;0,076;-0,384;-0,00009;0,0001
PRICKLE1;ENSG00000139174;END;12;42852140;42984157;-1;1;0,24;0;0,05;0,03;0,04;0,491;0,464;0,00022;-0,00016
NPM1;ENSG00000181163;END;5;170814120;170838141;1;61;0,34;103788,42;0;0,34;-;0,438;1,912;0,00016;0,00013
VAC14;ENSG00000103043;END;16;70721342;70835064;-1;4;0,21;17419,3;0,06;0,03;0,05;0,574;-0,669;-0,00039;-0,00045
FOXP1;ENSG00000114861;END;3;71003844;71633140;-1;7;0,25;6571,69;0,26;0,2;0,09;0,332;0,228;0,00007;-0,00006
XRCC1;ENSG00000073050;END;19;44047192;44084625;-1;14;0,28;10476,81;0,43;0,21;0,11;0,01;0,343;0,00012;0,00022
CHD8;ENSG00000100888;END;14;21853353;21924285;-1;15;0,3;12001,91;0,08;0,04;0,05;-1,26;-1,184;-0,00006;-0,00049
LIPI;ENSG00000188992;END;21;15481134;15583166;-1;-;-;-;0,21;-;0,31;1,908;1,501;0,00047;0,00042
NLK;ENSG00000087095;END;17;26368763;26523407;1;16;0,32;13958,74;0;0;0;-1,544;-1,911;0,0001;-0,00001
PIAS1;ENSG00000033800;END;15;68346517;68483096;1;32;0,31;25845,51;0,24;0;0,03;-0,293;-0,768;-0,00028;-0,00042
FBXW8;ENSG00000174989;END;12;117348761;117468953;1;6;0,27;171,29;0,14;0,12;0,18;-0,613;-1,009;-0,00096;-0,00062
ODF2;ENSG00000136811;END;9;131217465;131263239;1;-;-;-;0,44;0,02;0,06;-1,234;-1,31;-0,00012;-0,00064
TBX20;ENSG00000164532;END;7;35242042;35293758;-1;1;0,22;0;0;0,02;0,02;2,2;2,194;0,00022;-0,00021
LEFTY2;ENSG00000143768;END;1;226124298;226129189;-1;-;-;-;0;-;-;-1,08;-0,549;0,00003;0,00008
PSMC1;ENSG00000100764;END;14;90722839;90738968;1;22;0,32;14142,32;0;0;0;1,568;3,049;0,00005;-0,0002
SNAP25;ENSG00000132639;END;20;10199478;10288066;1;23;0,26;48368,8;0;0;0;2,113;0,189;-0,00007;-0,00017
CALD1;ENSG00000122786;END;7;134429003;134655479;1;3;0,26;667,2;0,95;0,21;0,09;-0,651;0,98;0,00017;0,00006
JMJD6;ENSG00000070495;END;17;74708919;74722866;-1;1;0,23;0;0;0,02;0,02;0,955;-0,787;0,00005;-0,00059
ADNP;ENSG00000101126;END;20;49505453;49547958;-1;3;0,25;0;0,2;0,04;0,06;-1,248;-0,461;-0,00041;-0,00032
WNT11;ENSG00000085741;END;11;75897369;75921780;-1;-;-;-;0;0,06;0,02;-0,322;0,904;0,00055;0,00029
ACTL6B;ENSG00000077080;END;7;100240720;100254084;-1;2;0,25;5,56;0;0,07;0;0,338;-0,259;-0,0003;-0,00009
ODZ4,TENM4;ENSG00000149256;END;11;78363876;79151992;-1;-;-;-;0,11;-;0,02;-0,868;0,278;-0,00036;-0,0003
BARHL2;ENSG00000143032;END;1;91177096;91182794;-1;-;-;-;0,59;0,12;0,06;-1,049;-0,57;0,00013;0,00009
CYP51A1;ENSG00000001630;END;7;91741465;91772266;-1;-;-;-;1,21;-;0,1;2,531;2,277;0,0002;0,00008
MAD2L1;ENSG00000164109;END;4;120980577;120988229;-1;21;0,28;10661,54;0;0;0,06;-0,503;0,866;-0,00007;0,00016
FURIN;ENSG00000140564;END;15;91411822;91426688;1;3;0,22;1264,34;0,06;0,07;0,05;-0,328;0,987;0,0002;0,00021
NR2F1;ENSG00000175745;END;5;92919043;92930321;1;12;0,28;1671,34;0;0;0;-1,21;-1,035;0,00003;-0,00005
FIGN;ENSG00000182263;END;2;164449906;164592522;-1;-;-;-;0;0,07;0,04;-1,171;-0,968;0,0001;-0,00011
JPH1;ENSG00000104369;END;8;75146935;75233563;-1;2;0,25;2,28;0,24;0,02;0,1;-1,563;-0,396;0,00009;-0,00046
CECR2;ENSG00000099954;END;22;17840837;18033845;1;1;0,24;0;0,33;0,19;0,2;-0,428;0,116;0,00017;-0,00066
NRG2;ENSG00000158458;END;5;139226364;139422884;-1;2;0,24;2,11;0,63;0,32;0,07;-1,487;-0,593;0,00012;-0,00036
GATA6;ENSG00000141448;END;18;19749404;19782491;1;4;0,28;222,92;0,28;0,32;0,07;-0,421;-1,454;0,00006;-0,00028
OLIG2;ENSG00000205927;END;21;34398153;34401504;1;1;0,24;0;0;0,02;0,03;1,672;0,468;0,00023;0,00002
KAT8;ENSG00000103510;END;16;31127075;31142714;1;23;0,3;32016,89;0,38;0,14;0,04;1,161;1,049;0,00018;0,00018
USP8;ENSG00000138592;END;15;50716577;50793280;1;24;0,32;63193,38;0,68;0,18;0,17;-0,691;0,259;-0,00004;0,00003
TOPBP1;ENSG00000163781;END;3;133317019;133380737;-1;18;0,28;6280,96;0,23;0,18;0,23;-0,024;0,066;0,00014;-0,00017
LLGL2;ENSG00000073350;END;17;73521161;73571289;1;-;-;-;0,37;0,05;0,07;0,647;0,685;-0,00021;-0,00063
KDM1A;ENSG00000004487;END;1;23345941;23410182;1;44;0,31;51609,99;0;0,08;0,02;0,425;0,45;-0,0002;-0,00017
MADD;ENSG00000110514;END;11;47290712;47351582;1;3;0,27;265,32;0,24;0,09;0,05;-0,605;0,163;0,00003;0,00004
HYOU1;ENSG00000149428;END;11;118914900;118927913;-1;3;0,26;647,3;0,92;0,28;0,08;-0,517;0,041;0,00024;0,00024
HADHA;ENSG00000084754;END;2;26413504;26467594;-1;12;0,31;11749,46;0,06;0,16;0,17;-0,478;0,383;-0,00008;-0,00047
PNPT1;ENSG00000138035;END;2;55861400;55921045;-1;-;-;-;0,08;0,26;0,08;0,198;-0,079;0,00028;0,00013
SP7;ENSG00000170374;END;12;53720362;53739099;-1;-;-;-;0,13;0,11;0,06;-1,654;-0,195;-0,00043;0,00001
SOSTDC1;ENSG00000171243;END;7;16501106;16570205;-1;3;0,21;96,58;-;0,11;0,06;-0,17;1,172;-0,00039;-0,00004
MYT1;ENSG00000196132;END;20;62783144;62873604;1;3;0,28;118,46;0,41;0,15;0,07;-0,756;0,089;0,00015;-0,00048
ASXL2;ENSG00000143970;END;2;25960557;26101385;-1;2;0,25;183,36;0,49;0,58;0,36;-1,76;0,218;-0,00012;0,00001
TIE1;ENSG00000066056;END;1;43766664;43788779;1;3;0,25;3642,19;0,12;0,09;0,08;-0,497;1,11;0,00009;0,00006
PTPRS;ENSG00000105426;END;19;5158506;5340814;-1;18;0,29;22065,26;0,03;0,16;0,03;0,271;0,258;0,00033;0,00006
PITPNA;ENSG00000174238;END;17;1421012;1466110;-1;4;0,23;9206,32;-;0,11;0,02;-0,865;0,206;-0,00067;-0,00025
ARL13B;ENSG00000169379;END;3;93698983;93774512;1;-;-;-;-;0,48;0,18;-1,621;-1,655;0,00005;-0,00002
ACTA,ACTA1;ENSG00000143632;END;1;229566992;229569845;-1;49;0,31;119946,39;0,03;0;0;2,46;0,293;-0,00015;-0,00005
PEG10;ENSG00000242265;END;7;94285637;94299007;1;2;0,25;2,09;0,29;-;0,26;-0,554;-0,515;-0,00021;-0,00016
LHX6;ENSG00000106852;END;9;124964856;124991905;-1;-;-;-;0,18;0,01;0,02;0,075;0,245;0,00014;0
PDCD2;ENSG00000071994;END;6;170884383;170893780;-1;6;0,27;3676,35;0,37;0,49;0,16;0,811;0,814;0,00016;0
MEF2A;ENSG00000068305;END;15;100017370;100256671;1;15;0,29;10154,94;0,66;0,38;0,14;0,821;0,92;-0,0001;-0,00015
PISD;ENSG00000241878;END;22;32014477;32058418;-1;-;-;-;0,05;0,02;0,11;-0,962;-1,581;-0,00127;-0,00105
TMEM67;ENSG00000164953;END;8;94767072;94831462;1;-;-;-;0,15;0,33;0,15;-0,616;-0,913;-0,00017;-0,00005
SCN8A;ENSG00000196876;END;12;51984050;52203558;1;1;0,25;0;-;0,01;0,01;-0,382;-1,219;-0,00011;-0,00031
CNTNAP1;ENSG00000108797;END;17;40834631;40851832;1;6;0,26;1873,92;0;0,05;0,06;0,537;-0,291;0,00008;-0,00011
FGL2;ENSG00000127951;END;7;76822688;76829143;-1;-;-;-;0,11;0,11;0,14;-1,454;-0,709;0,00007;0,00011
EIF2S1;ENSG00000134001;END;14;67826714;67853233;1;4;0,24;730,88;0;0;0,01;-1,594;-1,676;-0,00064;-0,00062
PAX7;ENSG00000009709;END;1;18957500;19075360;1;3;0,31;171,85;0,06;0,08;0,06;-0,355;-0,081;-0,0002;-0,00021
RAMP2;ENSG00000131477;END;17;40910465;40915059;1;1;0,15;0;0,33;0,31;0,45;-0,007;-0,734;-0,00165;-0,00033
STX1A;ENSG00000106089;END;7;73113536;73134002;-1;35;0,27;96397,99;0;0,01;0,01;0,148;0,256;0,00008;-0,0001
KLF2;ENSG00000127528;END;19;16435628;16438685;1;5;0,31;9602,21;0,28;0,03;0,05;1,26;0,88;0,00037;0,00031
LIAS;ENSG00000121897;END;4;39460620;39479273;1;-;-;-;0,16;0,1;0,09;-0,038;0,588;0,00011;-0,00028
DRAP1;ENSG00000175550;END;11;65686728;65689032;1;13;0,26;5639,23;0,31;0,02;0,05;-0,969;-0,561;0,00001;-0,00043
RANBP2;ENSG00000153201;END;2;109335937;109402267;1;24;0,32;42028,03;0,38;0,26;0,14;-1,095;-0,312;0,00002;-0,00034
DSG2;ENSG00000046604;END;18;29078006;29128971;1;5;0,25;9,9;0,31;0,24;0,18;0,907;1,26;-0,00002;-0,0004
HTT;ENSG00000197386;END;4;3076408;3245676;1;36;0,33;116294,19;0,19;0,31;0,1;-0,509;-0,615;-0,00039;-0,00046
MGRN1;ENSG00000102858;END;16;4666494;4740975;1;12;0,27;31036,51;0,13;0,22;0,08;-0,288;-0,662;-0,00098;-0,00133
SUV420H1;ENSG00000110066;END;11;67922330;67981295;-1;2;0,26;94,48;0,75;0,07;0,1;-0,033;-0,325;0,00003;-0,00004
CASC5;ENSG00000137812;END;15;40886218;40956540;1;2;0,19;0;0,61;0,7;0,54;0,855;1,157;0,00015;0,00018
FERMT1;ENSG00000101311;END;20;6055492;6104191;-1;-;-;-;-;0,12;0,11;-0,115;0,07;0,0001;-0,00064
S100A4;ENSG00000196154;END;1;153516089;153522612;-1;6;0,28;6347,76;0;0;0,04;-0,744;-1,166;-0,00311;-0,00161
YY1;ENSG00000100811;END;14;100704635;100749129;1;55;0,32;62358,45;0;0,52;0,02;-0,961;-0,223;-0,00026;-0,00042
MAML1;ENSG00000161021;END;5;179159851;179223512;1;10;0,28;13474,37;0,45;0,23;0,14;-1,094;-0,39;-0,00001;-0,0003
ITGAV;ENSG00000138448;END;2;187454792;187545628;1;4;0,24;2611,65;0,07;0,09;0,08;1,506;0,905;0,00012;0,00007
FAM212A;ENSG00000185614;END;3;49840687;49842463;1;-;-;-;-;0,38;0,26;-0,568;-0,518;0,00007;0,00009
TFDP1;ENSG00000198176;END;13;114239013;114295785;1;11;0,32;11792,08;0,19;0,13;0,03;-0,475;0,243;0,00009;-0,00004
ADRB1;ENSG00000043591;END;10;115803806;115806667;1;3;0,24;1480,97;0,17;-;0,03;0,922;0,277;-0,00034;-0,00055
SP1;ENSG00000185591;END;12;53773960;53810230;1;121;0,35;201761,81;0;0,09;0,09;-1,415;-0,521;-0,00012;-0,0004
MYOCD;ENSG00000141052;END;17;12569207;12672266;1;7;0,27;8986,14;0,97;0,54;0,14;-1,019;0,151;0,00003;-0,00057
PPARD;ENSG00000112033;END;6;35310335;35395968;1;13;0,29;1128,38;0,03;0,08;0,04;-1,162;-1,927;-0,00064;-0,00065
UPK2;ENSG00000110375;END;11;118795873;118829269;1;2;1;0;-;0,35;0,14;-0,49;-0,242;0,00028;-0,00006
SNRNP200;ENSG00000144028;END;2;96940074;96971297;-1;15;0,29;12704,26;0;0,08;0;-0,444;-0,368;0;0,00002
MCM2;ENSG00000073111;END;3;127317066;127341276;1;40;0,3;46313,53;0;0,15;0,02;-1,758;-1,105;-0,00017;-0,00005
COPS6;ENSG00000168090;END;7;99686577;99689823;1;110;0,31;318560,22;0;0,08;0,03;-1,42;-0,163;-0,00048;-0,00003
CLDN1;ENSG00000163347;END;3;190023490;190040264;-1;6;0,23;3849,64;0;0,04;0,12;2,167;1,312;0,00068;0,00006
CUX1;ENSG00000257923;END;7;101459219;101927250;1;-;-;-;0,14;0,07;0,08;0,402;0,622;0,00007;-0,00006
INCENP;ENSG00000149503;END;11;61891445;61920635;1;7;0,25;357,89;0,06;0,19;0,18;0,59;2,024;0,00022;0,00001
PTGES3;ENSG00000110958;END;12;57057127;57082159;-1;10;0,28;2160,01;-;0,1;0,02;-0,966;-0,365;0,00025;0,00015
ZPR1,ZNF259;ENSG00000109917;END;11;116648436;116658766;-1;3;0,26;212,84;0,37;0,25;0,09;-1,699;-1,419;0,00022;-0,00036
ARHGAP5;ENSG00000100852;END;14;32545320;32628934;1;5;0,25;1144,4;0;0,06;0,04;-1,327;-1,607;0,00006;0
VPRBP;ENSG00000145041;END;3;51433298;51534010;-1;7;0,27;359,04;0;0,33;0,05;-1,286;-1,912;0,00006;-0,00008
ELF3;ENSG00000163435;END;1;201977073;201986316;1;15;0,28;18912,35;0,07;0,15;0,07;0,573;0,903;0,00009;0,00014
NCSTN;ENSG00000162736;END;1;160313062;160328742;1;6;0,25;2248,4;0,12;0,11;0,13;-1,38;-0,201;-0,00083;-0,0002
NUP214;ENSG00000126883;END;9;134000948;134110057;1;18;0,28;12886,38;0,25;0,52;0,26;-1,566;-0,838;-0,00101;-0,00043
RAP1A;ENSG00000116473;END;1;112084840;112259313;1;22;0,27;34194,34;-;0;0;0,437;0,3;0,00041;0,00008
DUSP6;ENSG00000139318;END;12;89741009;89747048;-1;5;0,26;4993,89;0,09;0,01;0,01;-0,118;-0,445;-0,00156;-0,00041
ZNF385A;ENSG00000161642;END;12;54762917;54785082;-1;-;-;-;0,25;0,08;0,11;-1,204;-0,465;0,00013;-0,00016
RASA1;ENSG00000145715;END;5;86563705;86687748;1;34;0,3;24387,28;0,16;0,08;0,06;-0,686;-1,279;0,00007;-0,00037
KHDRBS1;ENSG00000121774;END;1;32479430;32526451;1;39;0,31;61378,88;0;0,64;0,08;-0,832;-2,3;0,00001;-0,00004
MCM9;ENSG00000111877;END;6;119134605;119256327;-1;-;-;-;0,5;0,35;0,29;-0,469;-0,495;-0,00006;-0,00047
RBM15;ENSG00000162775;END;1;110881128;110889299;1;2;0,26;54,91;0;0,32;0,1;-0,671;0,779;0,00016;0,00009
JAK1;ENSG00000162434;END;1;65298912;65432187;-1;40;0,3;115029,54;0,03;0,04;0,05;-1,209;-0,144;0,00007;-0,00032
MLLT1;ENSG00000130382;END;19;6212966;6279959;-1;18;0,28;4871,57;0,12;0,05;0,06;-1,249;-0,426;0,00009;-0,00061
ALX1;ENSG00000180318;END;12;85673885;85695562;1;1;0,21;0;0;0,21;0,03;-1,461;-0,637;0,00009;-0,0002
HUS1;ENSG00000136273;END;7;47735328;48019178;-1;14;0,32;15242,37;0;0,05;0,13;1,801;1,535;0,00012;-0,00009
CCDC86;ENSG00000110104;END;11;60609544;60618554;1;1;0,24;0;0,24;0,34;0,25;0,996;0,811;0,00003;-0,00006
SAA2;ENSG00000134339;END;11;18260770;18270190;-1;1;0,2;0;0,49;-;-;0,241;0,475;-0,00008;-0,00023
ACTN4;ENSG00000130402;END;19;39138289;39222223;1;17;0,31;23462,28;0;0;0,01;-0,497;-0,325;-0,0004;-0,00024
NBEA;ENSG00000172915;END;13;35516424;36247159;1;1;0,21;0;0,02;-;0,02;-0,444;-0,622;-0,0001;-0,00035
OTP;ENSG00000171540;END;5;76924538;76935513;-1;-;-;-;0;0,36;0;1,038;1,799;0,00012;0,00009
CABIN1;ENSG00000099991;END;22;24407642;24574596;1;12;0,28;6510,89;-;-;-;-1,665;-1,607;-0,00015;-0,00032
HTR4;ENSG00000164270;END;5;147830595;148056798;-1;-;-;-;0,12;0,3;0,12;-0,008;0,714;-0,00046;-0,00028
LRPAP1;ENSG00000163956;END;4;3508103;3534286;-1;15;0,27;12463,2;0,04;0,09;0,1;0,466;0,686;0,00063;0,00037
MAPK14;ENSG00000112062;END;6;35995488;36079013;1;70;0,3;133335,46;0;0,04;0;-0,833;-0,763;0,00018;-0,00037
NUP133;ENSG00000069248;END;1;229577045;229644103;-1;7;0,31;9087,89;0,32;0,23;0,12;0,327;-0,094;-0,00035;-0,00049
GNA13;ENSG00000120063;END;17;63006833;63052957;-1;22;0,27;43423,9;0,41;0,56;0,04;-1,176;-2,005;0,00005;-0,00031
KIF3B;ENSG00000101350;END;20;30865467;30922814;1;3;0,23;359,45;0;0,01;0,02;-0,031;0,789;0,00017;0,00009
C11orf73;ENSG00000149196;END;11;86013253;86056969;1;-;-;-;0;0;0,06;0,311;1,008;0,00038;0,00029
NRF1;ENSG00000106459;END;7;129251555;129396922;1;6;0,27;1965,9;0;0;0,18;-0,027;0,196;0,00034;0,00013
RNASEH1;ENSG00000171865;END;2;3592383;3606206;-1;-;-;-;0,09;0,45;0,17;-0,571;0,201;-0,00025;-0,00038
MDM2;ENSG00000135679;END;12;69201956;69239214;1;95;0,35;178834,32;0,83;0,05;0,13;-0,709;0,032;0,00012;0,00011
SLC32A1;ENSG00000101438;END;20;37353105;37358015;1;-;-;-;0,09;0,02;0,01;-0,969;0,578;0;-0,00005
CAPNS1;ENSG00000126247;END;19;36630477;36641255;1;12;0,28;33066,35;0,11;0,11;0,05;-0,842;-0,578;0,00017;-0,00013
TBX1;ENSG00000184058;END;22;19744226;19771116;1;2;0,26;0;0,07;0,23;0,04;0,093;-0,269;-0,00126;-0,00067
BMP5;ENSG00000112175;END;6;55618443;55740362;-1;-;-;-;0;0;0,08;-0,368;-0,53;-0,00003;-0,00001
MCOLN3;ENSG00000055732;END;1;85483765;85514182;-1;-;-;-;0,2;0,25;0,07;-0,971;-0,493;0,00002;0,00007
GRID2;ENSG00000152208;END;4;93225550;94695707;1;7;0,23;9207,14;0;0,02;0,02;-1,407;-0,39;0,00009;-0,00033
